epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,3038.05,0.93905,0.45222,1.10564,0.97669,0.96885,0.98243,0.58649,1.37505,0.4823,1.41757,0.000713,0.000713,0.000713
132,3055.92,0.91931,0.46569,1.10965,0.9705,0.97688,0.98457,0.58224,1.39378,0.48104,1.44104,0.0007031,0.0007031,0.0007031
133,3073.1,0.93788,0.45143,1.1044,0.97557,0.98844,0.98175,0.60532,1.32467,0.48213,1.39551,0.0006932,0.0006932,0.0006932
134,3090.04,0.9359,0.45566,1.11034,0.96484,0.9711,0.97842,0.59552,1.39137,0.50479,1.44789,0.0006833,0.0006833,0.0006833
135,3107.14,0.90992,0.4419,1.10358,0.97139,0.98121,0.9807,0.59616,1.35871,0.4843,1.43725,0.0006734,0.0006734,0.0006734
136,3124.97,0.93939,0.44482,1.11203,0.97121,0.98266,0.9799,0.60106,1.32969,0.46738,1.4034,0.0006635,0.0006635,0.0006635
137,3142.76,0.90825,0.44827,1.10927,0.97567,0.97688,0.9822,0.59367,1.36894,0.49904,1.43891,0.0006536,0.0006536,0.0006536
138,3160.61,0.90444,0.43546,1.09158,0.97578,0.97688,0.98565,0.59826,1.41981,0.47256,1.49907,0.0006437,0.0006437,0.0006437
139,3178.36,0.93517,0.44897,1.10679,0.98265,0.98208,0.98905,0.60182,1.36184,0.46166,1.45814,0.0006338,0.0006338,0.0006338
140,3196.08,0.91223,0.44416,1.09957,0.97108,0.97062,0.98396,0.59712,1.38302,0.47772,1.43039,0.0006239,0.0006239,0.0006239
141,3214.43,0.87888,0.43351,1.09628,0.97648,0.97688,0.98518,0.59517,1.36709,0.46911,1.44013,0.000614,0.000614,0.000614
142,3232.51,0.89149,0.42745,1.09453,0.9711,0.97102,0.97915,0.58806,1.40213,0.49185,1.47576,0.0006041,0.0006041,0.0006041
143,3250.51,0.90924,0.44209,1.10122,0.96454,0.98266,0.98413,0.58661,1.40259,0.49374,1.48468,0.0005942,0.0005942,0.0005942
144,3267.93,0.90747,0.44745,1.10641,0.97564,0.9711,0.98469,0.59181,1.40395,0.48722,1.49463,0.0005843,0.0005843,0.0005843
145,3285.99,0.89496,0.42613,1.08503,0.98179,0.9711,0.98055,0.59306,1.39862,0.47433,1.45416,0.0005744,0.0005744,0.0005744
146,3303.68,0.88048,0.42237,1.08737,0.97709,0.98608,0.98416,0.59496,1.41978,0.48594,1.48112,0.0005645,0.0005645,0.0005645
147,3321.71,0.87583,0.42791,1.07541,0.97432,0.98844,0.98363,0.60446,1.36518,0.4896,1.43986,0.0005546,0.0005546,0.0005546
148,3339.93,0.88058,0.42639,1.08818,0.96587,0.98146,0.98206,0.59815,1.36973,0.50523,1.44002,0.0005447,0.0005447,0.0005447
149,3357.94,0.88963,0.42598,1.0855,0.96607,0.98745,0.982,0.60455,1.34986,0.47741,1.41537,0.0005348,0.0005348,0.0005348
